P_from_Source_N1,P_from_Source_N2,P_from_Source_N3,P_from_Source_N4,P_from_Source_N5,P_from_Source_N6,P_from_Source_N7,P_from_Source_N8,P_from_Source_N9,P_from_Source_N10,P_from_Source_N11
0.3069684276995861,0.07196431614816322,0.0168709949670449,0.0039551612035414845,0.0009272304488855897,0.0002173758163932658,5.096072489560326e-05,1.1947445648445676e-05,2.80278049852738e-06,6.650665710526305e-07,1.9001902964870257e-07
0.3069684276995861,0.07196431614816322,0.0168709949670449,0.0039551612035414845,0.0009272304488855897,0.0002173758163932658,5.096072489560326e-05,1.1947445648445676e-05,2.80278049852738e-06,6.650665710526305e-07,1.9001902964870257e-07
3.9502505875797844,0.9268354077658786,0.2172831805627638,0.050938904766552294,0.011941890886679957,0.00279960422346595,0.0006563281188487301,0.0001538723112675598,3.60972818048853e-05,8.565456706748176e-06,2.447273351606594e-06
3.9484731835498517,0.9286876600615546,0.2177174143723885,0.05104070461416979,0.011965756391395905,0.002805199147114428,0.0006576397705420888,0.00015417982037184012,3.6169421089631106e-05,8.582574489939088e-06,2.452164144277447e-06
3.9455084427881437,0.931775436769706,0.21844129904317267,0.05121040892454722,0.012005541117177514,0.002814526102736563,0.00065982634506893,0.00015469245003206104,3.62896801310562e-05,8.611110542659884e-06,2.4603173047242247e-06
3.9413527639647996,0.9360997652067653,0.21945507541458648,0.051448074158920665,0.012061258300523786,0.002827588193421342,0.0006628885698483787,0.0001554103708459585,3.645809891687373e-05,8.651074326841801e-06,2.4717355211965497e-06
3.936001104839407,0.9416620695570491,0.22075907736615424,0.05175377859061224,0.012132926291497386,0.002844389721093281,0.000666827453398504,0.00015633381918495488,3.6674732927603864e-05,8.702479018445165e-06,2.4864225784669184e-06
3.9294469820267333,0.9484641566638013,0.22235372848611185,0.05212762152368683,0.012220568370481537,0.002864936143500434,0.0006716442752553829,0.00015746309505417093,3.693965253525482e-05,8.765341277543294e-06,2.504383234029728e-06
3.921682470988698,0.9565081975642091,0.22423953774282962,0.05256972227849152,0.012324212510464465,0.0028892340185039545,0.0006773405727617686,0.00015879855889128642,3.725294226051706e-05,8.839681230636654e-06,2.525623200415428e-06
3.9126982064161386,0.9657967046101866,0.2264170941209232,0.0530802189339793,0.012443891081968634,0.002917290934908727,0.0006839181250437075,0.0001603406277994533,3.7614699959214006e-05,8.92552202850654e-06,2.550149145190517e-06
3.902483383253759,0.9763325039917234,0.22888706017985355,0.05365926681760247,0.012579640499369054,0.0029491154295167177,0.0006913789334323005,0.00016208977093128834,3.8025035725779244e-05,9.022889846215065e-06,2.577968549470722e-06
3.891025758681175,0.9881187034495383,0.23165016448455894,0.05430703673090872,0.012731500804568323,0.0029847168896071797,0.0006997251986312668,0.0001640465042715465,3.8484070584503363e-05,9.131813370215448e-06,2.6090895487483226e-06
3.878311655387769,1.0011586549297564,0.23470719285040953,0.05502371289697415,0.01289951518601216,0.003024105440083229,0.0007089592943296518,0.00016621138430558552,3.899193509235159e-05,9.252323603807612e-06,2.6435210390072683e-06
3.8643259665707275,1.0154559119067437,0.23805897833812598,0.05580949061488777,0.013083729428783192,0.003067291814577349,0.0007190837367998458,0.00016858500098039669,3.954876765880782e-05,9.384453354248468e-06,2.6812723937495346e-06
3.8490521631200103,1.0310141810732627,0.24170638992841353,0.056664573604556706,0.013284191292023555,0.0031142872095607887,0.0007301011509407472,0.00017116796967522757,4.015471260043073e-05,9.528236879034858e-06,2.7223534109375614e-06
3.8324723035396873,1.0478372680726538,0.24565031979932567,0.057589171024270164,0.013500949809919265,0.0031651031203780255,0.0007420142317049171,0.00017396092219948295,4.080991812466666e-05,9.683709373013816e-06,2.7667741184498777e-06
3.814567047218659,1.0659290169289102,0.249891669126841,0.058583494141779734,0.013734054511117404,0.0032197511582866146,0.0007548257011219571,0.00017696449669410292,4.1514534013002806e-05,9.85090640243529e-06,2.814544703337685e-06
1.105441273028942,0.3158736647745184,0.07405202041607,0.017360427097825766,0.004069901524139757,0.0009541297608765363,0.00022368239974541055,5.244103802467963e-05,1.2302271341772908e-05,2.919183051324037e-06,8.340522945669449e-07
1.0991011889037274,0.32107933374659164,0.0752724143519631,0.01764653083728916,0.004136974415805399,0.000969854033740518,0.00022736873600305723,5.330527814324953e-05,1.2505015555790246e-05,2.9672918427746e-06,8.477976862917736e-07
1.0927514818690505,0.32628643000532737,0.07649314289460511,0.017932713020442498,0.004204065697415309,0.0009855826178671466,0.00023105608290107532,5.416975516381744e-05,1.270781532107117e-05,3.0154138101854857e-06,8.615468097315394e-07
1.086392233746281,0.33149486897186636,0.0777141862157321,0.018218968998913093,0.004271174279291039,0.0010013152577665928,0.0002347443806612824,5.5034455132245526e-05,1.2910667418790478e-05,3.0635482107508775e-06,8.752995057135671e-07
1.0800235271604686,0.3367045657751083,0.07893552441847672,0.01850529410807496,0.0043382990678278825,0.0010170516971177922,0.00023843356913409315,5.589936391753741e-05,1.3113568470950288e-05,3.111694213235694e-06,8.890554912642124e-07
1.073645445534932,0.34191543525997126,0.08015713753954354,0.01879168366788005,0.004405438965919333,0.0010327916786623302,0.00024212358802843542,5.676446738869672e-05,1.3316515205667834e-05,3.1598510571482666e-06,9.028145895249473e-07
1.0672580730851924,0.34712739199575693,0.08137900555085388,0.019078132983052793,0.0044725928727802275,0.0010485349443813006,0.0002458143768410069,5.762975137935538e-05,1.3519504315688647e-05,3.2080179819969247e-06,9.165765705796858e-07
1.0608614948140034,0.35234035028472827,0.0826011083618626,0.019364637343585307,0.004539759684229721,0.0010642812353715047,0.0002495058748916466,5.8495201617030195e-05,1.3722532405328993e-05,3.2561941388607354e-06,9.303411868264889e-07
1.0544557965047547,0.357554224170758,0.0838234258213621,0.019651192025356395,0.00460693829277971,0.001080030292039995,0.0002531980213233352,5.936080388229552e-05,1.3925596149648546e-05,3.304378767248029e-06,9.44108226035123e-07
1.0480410647152638,0.3627689274478177,0.08504593771965765,0.019937792290520645,0.004674127587670211,0.0010957818539449036,0.000256890755066823,6.022654384961062e-05,1.4128692206021132e-05,3.352571035923724e-06,9.578774406036495e-07
1.0416173867715515,0.36798437366901526,0.08626862379044216,0.020224433387915193,0.004741326455099276,0.0011115356600076719,0.0002605840149467452,6.109240714037716e-05,1.4331817178763019e-05,3.4007702020820045e-06,9.716486359876875e-07
