N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
2.9965,0.0035000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.952500000000001,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8462499999999995,0.15375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730625,0.169375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.348125,0.15187499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.291875,0.20812499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.235625,0.26437499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.179375,0.320625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123125,0.37687499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6024,0.23759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2695,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2545,0.1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2395,0.1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2245,0.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20949999999999996,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1945,0.20550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1795,0.2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1645,0.2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1495,0.2505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1345,0.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11950000000000001,0.2805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1045,0.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0895,0.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0745,0.3255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.059499999999999977,0.3405000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044500000000000005,0.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0295,0.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1825,-4.8175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06375,-4.936249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0325,-3.9925000000000006,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
