N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
1.66625,0.0004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.987916666666667,0.012083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.954166666666667,0.04583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.897916666666666,0.10208333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.819166666666667,0.18083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.626041666666666,0.20729166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.381875,0.118125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3481250000000002,0.15187499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.314375,0.18562499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.280625,0.219375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.246875,0.253125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.213125,0.286875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.179375,0.32062499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1456250000000001,0.35437499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.111875,0.3881249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8173333333333334,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2785,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2695,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2605,0.13949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2515,0.1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24250000000000002,0.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2335,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2245,0.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2155,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2065,0.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1975,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1885,0.2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1795,0.2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17049999999999998,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1615,0.23850000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1525,0.24749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1435,0.2565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1345,0.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1255,0.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11649999999999999,0.28350000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1075,0.2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09849999999999996,0.3015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08949999999999998,0.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0805,0.3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0715,0.3285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,0.3375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05349999999999997,0.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044500000000000005,0.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0355,0.3645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026499999999999996,0.3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.21208333333333332,-4.787916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.12583333333333332,-4.8741666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.062083333333333324,-4.937916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020833333333333332,-4.979166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06458333333333334,-3.3312500000000003,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13333333333333333,1.66625,0.13375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.987916666666667,0.012083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.954166666666667,0.04583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.897916666666666,0.10208333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.819166666666667,0.18083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.626041666666666,0.20729166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.381875,0.118125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3481250000000002,0.15187499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.314375,0.18562499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.280625,0.219375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.246875,0.253125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.213125,0.286875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.179375,0.32062499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1456250000000001,0.35437499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.111875,0.3881249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8173333333333334,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2785,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2695,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2605,0.13949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2515,0.1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9941666666666675,0.2483333333333333,0.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9679166666666665,0.26558333333333334,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9191666666666665,0.30533333333333335,0.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.847916666666666,0.3675833333333334,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.754166666666666,0.4523333333333333,0.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3931250000000002,0.304375,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.359375,0.329125,0.2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.325625,0.35387499999999994,0.2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.291875,0.378625,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.258125,0.40337500000000004,0.23850000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.224375,0.42812500000000003,0.24749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.190625,0.45287499999999997,0.2565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.156875,0.477625,0.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123125,0.5023749999999999,0.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.089375,0.527125,0.28350000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28150000000000003,0.226,0.2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2725,0.226,0.3015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2635,0.226,0.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2545,0.226,0.3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24549999999999997,0.22599999999999995,0.3285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23650000000000002,0.226,0.3375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2275,0.22599999999999998,0.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2185,0.22599999999999998,0.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2095,0.226,0.3645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2005,0.226,0.3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1915,-0.0035833333333333017,-4.787916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1825,0.09166666666666667,-4.8741666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1735,0.16441666666666666,-4.937916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1645,0.21466666666666664,-4.979166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1555,0.3090833333333333,-3.3312500000000003,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1465,0.4535,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1375,0.4625000000000001,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1285,0.4715,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1195,0.4805,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1105,0.4895,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10149999999999997,0.4985,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09249999999999999,0.5075,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0835,0.5165000000000001,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0745,0.5255,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0655,0.5345000000000001,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05649999999999997,0.5435,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04750000000000001,0.48583333333333334,1.66625,0.13375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0385,0.3615,4.987916666666667,0.012083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0295,0.3705,4.954166666666667,0.04583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.14425,-3.0557499999999997,4.897916666666666,0.10208333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.15208333333333332,-4.847916666666666,4.819166666666667,0.18083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08083333333333334,-4.9191666666666665,3.626041666666666,0.20729166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03208333333333333,-4.9679166666666665,1.381875,0.118125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
